,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,RatioPetalLengthWidthCm
0,5.1,3.5,1.4,0.2,Iris-setosa,6.999999999999999
1,4.9,3.0,1.4,0.2,Iris-setosa,6.999999999999999
2,4.7,3.2,1.3,0.2,Iris-setosa,6.5
3,4.6,3.1,1.5,0.2,Iris-setosa,7.5
4,5.0,3.6,1.4,0.2,Iris-setosa,6.999999999999999
5,5.4,3.9,1.7,0.4,Iris-setosa,4.25
6,4.6,3.4,1.4,0.3,Iris-setosa,4.666666666666667
7,5.0,3.4,1.5,0.2,Iris-setosa,7.5
8,4.4,2.9,1.4,0.2,Iris-setosa,6.999999999999999
9,4.9,3.1,1.5,0.1,Iris-setosa,15.0
10,5.4,3.7,1.5,0.2,Iris-setosa,7.5
11,4.8,3.4,1.6,0.2,Iris-setosa,8.0
12,4.8,3.0,1.4,0.1,Iris-setosa,13.999999999999998
13,4.3,3.0,1.1,0.1,Iris-setosa,11.0
14,5.8,4.0,1.2,0.2,Iris-setosa,5.999999999999999
15,5.7,4.4,1.5,0.4,Iris-setosa,3.75
16,5.4,3.9,1.3,0.4,Iris-setosa,3.25
17,5.1,3.5,1.4,0.3,Iris-setosa,4.666666666666667
18,5.7,3.8,1.7,0.3,Iris-setosa,5.666666666666667
19,5.1,3.8,1.5,0.3,Iris-setosa,5.0
20,5.4,3.4,1.7,0.2,Iris-setosa,8.5
21,5.1,3.7,1.5,0.4,Iris-setosa,3.75
22,4.6,3.6,1.0,0.2,Iris-setosa,5.0
23,5.1,3.3,1.7,0.5,Iris-setosa,3.4
24,4.8,3.4,1.9,0.2,Iris-setosa,9.499999999999998
25,5.0,3.0,1.6,0.2,Iris-setosa,8.0
26,5.0,3.4,1.6,0.4,Iris-setosa,4.0
27,5.2,3.5,1.5,0.2,Iris-setosa,7.5
28,5.2,3.4,1.4,0.2,Iris-setosa,6.999999999999999
29,4.7,3.2,1.6,0.2,Iris-setosa,8.0
30,4.8,3.1,1.6,0.2,Iris-setosa,8.0
31,5.4,3.4,1.5,0.4,Iris-setosa,3.75
32,5.2,4.1,1.5,0.1,Iris-setosa,15.0
33,5.5,4.2,1.4,0.2,Iris-setosa,6.999999999999999
34,4.9,3.1,1.5,0.1,Iris-setosa,15.0
35,5.0,3.2,1.2,0.2,Iris-setosa,5.999999999999999
36,5.5,3.5,1.3,0.2,Iris-setosa,6.5
37,4.9,3.1,1.5,0.1,Iris-setosa,15.0
38,4.4,3.0,1.3,0.2,Iris-setosa,6.5
39,5.1,3.4,1.5,0.2,Iris-setosa,7.5
40,5.0,3.5,1.3,0.3,Iris-setosa,4.333333333333334
41,4.5,2.3,1.3,0.3,Iris-setosa,4.333333333333334
42,4.4,3.2,1.3,0.2,Iris-setosa,6.5
43,5.0,3.5,1.6,0.6,Iris-setosa,2.666666666666667
44,5.1,3.8,1.9,0.4,Iris-setosa,4.749999999999999
45,4.8,3.0,1.4,0.3,Iris-setosa,4.666666666666667
46,5.1,3.8,1.6,0.2,Iris-setosa,8.0
47,4.6,3.2,1.4,0.2,Iris-setosa,6.999999999999999
48,5.3,3.7,1.5,0.2,Iris-setosa,7.5
49,5.0,3.3,1.4,0.2,Iris-setosa,6.999999999999999
50,7.0,3.2,4.7,1.4,Iris-versicolor,3.3571428571428577
51,6.4,3.2,4.5,1.5,Iris-versicolor,3.0
52,6.9,3.1,4.9,1.5,Iris-versicolor,3.266666666666667
53,5.5,2.3,4.0,1.3,Iris-versicolor,3.0769230769230766
54,6.5,2.8,4.6,1.5,Iris-versicolor,3.0666666666666664
55,5.7,2.8,4.5,1.3,Iris-versicolor,3.4615384615384612
56,6.3,3.3,4.7,1.6,Iris-versicolor,2.9375
57,4.9,2.4,3.3,1.0,Iris-versicolor,3.3
58,6.6,2.9,4.6,1.3,Iris-versicolor,3.538461538461538
59,5.2,2.7,3.9,1.4,Iris-versicolor,2.785714285714286
60,5.0,2.0,3.5,1.0,Iris-versicolor,3.5
61,5.9,3.0,4.2,1.5,Iris-versicolor,2.8000000000000003
62,6.0,2.2,4.0,1.0,Iris-versicolor,4.0
63,6.1,2.9,4.7,1.4,Iris-versicolor,3.3571428571428577
64,5.6,2.9,3.6,1.3,Iris-versicolor,2.769230769230769
65,6.7,3.1,4.4,1.4,Iris-versicolor,3.1428571428571432
66,5.6,3.0,4.5,1.5,Iris-versicolor,3.0
67,5.8,2.7,4.1,1.0,Iris-versicolor,4.1
